group,variable,value
Adams,1-Aug,1
Adams,2-Aug,1
Adams,3-Aug,4
Adams,4-Aug,1
Adams,5-Aug,2
Adams,6-Aug,0
Adams,7-Aug,0
Adams,8-Aug,1
Adams,9-Aug,2
Adams,10-Aug,2
Adams,11-Aug,2
Adams,12-Aug,3
Adams,13-Aug,3
Adams,14-Aug,3
Adams,15-Aug,1
Adams,16-Aug,2
Adams,17-Aug,0
Adams,18-Aug,2
Adams,19-Aug,2
Adams,20-Aug,0
Adams,21-Aug,0
Adams,22-Aug,0
Adams,23-Aug,0
Adams,24-Aug,3
Adams,25-Aug,4
Adams,26-Aug,0
Adams,27-Aug,0
Adams,28-Aug,0
Adams,29-Aug,0
Adams,30-Aug,0
Adams,31-Aug,0
Adams,1-Sep,2
Adams,2-Sep,1
Adams,3-Sep,0
Adams,4-Sep,1
Adams,5-Sep,0
Adams,6-Sep,1
Adams,7-Sep,1
Adams,8-Sep,0
Adams,9-Sep,0
Adams,10-Sep,6
Adams,11-Sep,6
Adams,12-Sep,4
Adams,13-Sep,0
Adams,14-Sep,3
Adams,15-Sep,1
Adams,16-Sep,2
Adams,17-Sep,2
Adams,18-Sep,1
Adams,19-Sep,2
Adams,20-Sep,1
Adams,21-Sep,3
Adams,22-Sep,3
Adams,23-Sep,1
Adams,24-Sep,0
Adams,25-Sep,4
Adams,26-Sep,2
Adams,27-Sep,1
Adams,28-Sep,3
Adams,29-Sep,5
Adams,30-Sep,2
Adams,1-Oct,6
Adams,2-Oct,5
Adams,3-Oct,0
Adams,4-Oct,1
Adams,5-Oct,3
Adams,6-Oct,2
Adams,7-Oct,4
Adams,8-Oct,5
Adams,9-Oct,8
Adams,10-Oct,5
Adams,11-Oct,2
Adams,12-Oct,8
Adams,13-Oct,1
Adams,14-Oct,2
Adams,15-Oct,6
Adams,16-Oct,3
Adams,17-Oct,4
Adams,18-Oct,3
Adams,19-Oct,1
Adams,20-Oct,7
Adams,21-Oct,8
Adams,22-Oct,2
Adams,23-Oct,10
Adams,24-Oct,6
Adams,25-Oct,1
Adams,26-Oct,5
Adams,27-Oct,12
Adams,28-Oct,12
Adams,29-Oct,11
Adams,30-Oct,15
Adams,31-Oct,9
Adams,1-Nov,15
Adams,2-Nov,12
Adams,3-Nov,24
Adams,4-Nov,19
Adams,5-Nov,16
Adams,6-Nov,25
Adams,7-Nov,19
Adams,8-Nov,26
Adams,9-Nov,31
Adams,10-Nov,26
Adams,11-Nov,33
Adams,12-Nov,30
Adams,13-Nov,34
Adams,14-Nov,22
Adams,15-Nov,19
Adams,16-Nov,26
Adams,17-Nov,26
Adams,18-Nov,26
Adams,19-Nov,28
Adams,20-Nov,33
Adams,21-Nov,15
Adams,22-Nov,18
Adams,23-Nov,26
Adams,24-Nov,17
Adams,25-Nov,6
Adams,26-Nov,10
Adams,27-Nov,16
Adams,28-Nov,5
Adams,29-Nov,8
Adams,30-Nov,15
Adams,1-Dec,14
Adams,2-Dec,20
Adams,3-Dec,23
Adams,4-Dec,13
Adams,5-Dec,25
Adams,6-Dec,11
Adams,7-Dec,16
Adams,8-Dec,22
Adams,9-Dec,12
Adams,10-Dec,21
Adams,11-Dec,9
Adams,12-Dec,11
Adams,13-Dec,12
Adams,14-Dec,15
Adams,15-Dec,11
Adams,16-Dec,10
Adams,17-Dec,12
Adams,18-Dec,19
Adams,19-Dec,8
Adams,20-Dec,11
Adams,21-Dec,27
Adams,22-Dec,18
Adams,23-Dec,19
Adams,24-Dec,15
Adams,25-Dec,8
Adams,26-Dec,18
Adams,27-Dec,19
Adams,28-Dec,14
Adams,29-Dec,14
Adams,30-Dec,21
Adams,31-Dec,18
Adams,1-Jan,17
Adams,2-Jan,16
Adams,3-Jan,23
Adams,4-Jan,17
Adams,5-Jan,21
Adams,6-Jan,28
Adams,7-Jan,15
Adams,8-Jan,10
Adams,9-Jan,6
Adams,10-Jan,6
Adams,11-Jan,25
Adams,12-Jan,7
Adams,13-Jan,5
Adams,14-Jan,17
Adams,15-Jan,2
Adams,16-Jan,1
Adams,17-Jan,0
Allen,1-Aug,8
Allen,2-Aug,11
Allen,3-Aug,17
Allen,4-Aug,23
Allen,5-Aug,11
Allen,6-Aug,19
Allen,7-Aug,13
Allen,8-Aug,4
Allen,9-Aug,18
Allen,10-Aug,27
Allen,11-Aug,30
Allen,12-Aug,10
Allen,13-Aug,19
Allen,14-Aug,18
Allen,15-Aug,12
Allen,16-Aug,14
Allen,17-Aug,34
Allen,18-Aug,18
Allen,19-Aug,17
Allen,20-Aug,28
Allen,21-Aug,14
Allen,22-Aug,7
Allen,23-Aug,10
Allen,24-Aug,19
Allen,25-Aug,30
Allen,26-Aug,22
Allen,27-Aug,9
Allen,28-Aug,14
Allen,29-Aug,6
Allen,30-Aug,11
Allen,31-Aug,11
Allen,1-Sep,14
Allen,2-Sep,11
Allen,3-Sep,19
Allen,4-Sep,10
Allen,5-Sep,6
Allen,6-Sep,13
Allen,7-Sep,12
Allen,8-Sep,6
Allen,9-Sep,19
Allen,10-Sep,8
Allen,11-Sep,6
Allen,12-Sep,5
Allen,13-Sep,11
Allen,14-Sep,14
Allen,15-Sep,3
Allen,16-Sep,17
Allen,17-Sep,9
Allen,18-Sep,6
Allen,19-Sep,11
Allen,20-Sep,9
Allen,21-Sep,22
Allen,22-Sep,8
Allen,23-Sep,11
Allen,24-Sep,18
Allen,25-Sep,13
Allen,26-Sep,12
Allen,27-Sep,14
Allen,28-Sep,19
Allen,29-Sep,17
Allen,30-Sep,15
Allen,1-Oct,23
Allen,2-Oct,22
Allen,3-Oct,23
Allen,4-Oct,18
Allen,5-Oct,39
Allen,6-Oct,25
Allen,7-Oct,40
Allen,8-Oct,33
Allen,9-Oct,30
Allen,10-Oct,39
Allen,11-Oct,32
Allen,12-Oct,53
Allen,13-Oct,35
Allen,14-Oct,51
Allen,15-Oct,38
Allen,16-Oct,37
Allen,17-Oct,34
Allen,18-Oct,34
Allen,19-Oct,43
Allen,20-Oct,56
Allen,21-Oct,48
Allen,22-Oct,50
Allen,23-Oct,54
Allen,24-Oct,37
Allen,25-Oct,59
Allen,26-Oct,61
Allen,27-Oct,56
Allen,28-Oct,73
Allen,29-Oct,52
Allen,30-Oct,72
Allen,31-Oct,47
Allen,1-Nov,59
Allen,2-Nov,109
Allen,3-Nov,72
Allen,4-Nov,93
Allen,5-Nov,91
Allen,6-Nov,73
Allen,7-Nov,79
Allen,8-Nov,70
Allen,9-Nov,168
Allen,10-Nov,158
Allen,11-Nov,130
Allen,12-Nov,134
Allen,13-Nov,111
Allen,14-Nov,77
Allen,15-Nov,63
Allen,16-Nov,163
Allen,17-Nov,118
Allen,18-Nov,130
Allen,19-Nov,107
Allen,20-Nov,109
Allen,21-Nov,69
Allen,22-Nov,71
Allen,23-Nov,165
Allen,24-Nov,129
Allen,25-Nov,136
Allen,26-Nov,41
Allen,27-Nov,92
Allen,28-Nov,78
Allen,29-Nov,91
Allen,30-Nov,134
Allen,1-Dec,111
Allen,2-Dec,97
Allen,3-Dec,106
Allen,4-Dec,108
Allen,5-Dec,67
Allen,6-Dec,56
Allen,7-Dec,127
Allen,8-Dec,98
Allen,9-Dec,98
Allen,10-Dec,95
Allen,11-Dec,104
Allen,12-Dec,65
Allen,13-Dec,72
Allen,14-Dec,119
Allen,15-Dec,101
Allen,16-Dec,75
Allen,17-Dec,101
Allen,18-Dec,96
Allen,19-Dec,61
Allen,20-Dec,50
Allen,21-Dec,68
Allen,22-Dec,71
Allen,23-Dec,74
Allen,24-Dec,65
Allen,25-Dec,50
Allen,26-Dec,38
Allen,27-Dec,79
Allen,28-Dec,107
Allen,29-Dec,85
Allen,30-Dec,60
Allen,31-Dec,78
Allen,1-Jan,45
Allen,2-Jan,88
Allen,3-Jan,70
Allen,4-Jan,123
Allen,5-Jan,71
Allen,6-Jan,76
Allen,7-Jan,70
Allen,8-Jan,43
Allen,9-Jan,45
Allen,10-Jan,29
Allen,11-Jan,49
Allen,12-Jan,51
Allen,13-Jan,41
Allen,14-Jan,52
Allen,15-Jan,60
Allen,16-Jan,12
Allen,17-Jan,2
Ashland,1-Aug,3
Ashland,2-Aug,1
Ashland,3-Aug,1
Ashland,4-Aug,5
Ashland,5-Aug,2
Ashland,6-Aug,1
Ashland,7-Aug,0
Ashland,8-Aug,2
Ashland,9-Aug,1
Ashland,10-Aug,1
Ashland,11-Aug,0
Ashland,12-Aug,1
Ashland,13-Aug,3
Ashland,14-Aug,0
Ashland,15-Aug,0
Ashland,16-Aug,0
Ashland,17-Aug,0
Ashland,18-Aug,0
Ashland,19-Aug,2
Ashland,20-Aug,0
Ashland,21-Aug,0
Ashland,22-Aug,1
Ashland,23-Aug,0
Ashland,24-Aug,4
Ashland,25-Aug,0
Ashland,26-Aug,2
Ashland,27-Aug,1
Ashland,28-Aug,1
Ashland,29-Aug,3
Ashland,30-Aug,2
Ashland,31-Aug,2
Ashland,1-Sep,1
Ashland,2-Sep,1
Ashland,3-Sep,0
Ashland,4-Sep,3
Ashland,5-Sep,1
Ashland,6-Sep,1
Ashland,7-Sep,4
Ashland,8-Sep,3
Ashland,9-Sep,4
Ashland,10-Sep,6
Ashland,11-Sep,3
Ashland,12-Sep,3
Ashland,13-Sep,4
Ashland,14-Sep,7
Ashland,15-Sep,4
Ashland,16-Sep,6
Ashland,17-Sep,2
Ashland,18-Sep,4
Ashland,19-Sep,4
Ashland,20-Sep,0
Ashland,21-Sep,2
Ashland,22-Sep,2
Ashland,23-Sep,4
Ashland,24-Sep,7
Ashland,25-Sep,4
Ashland,26-Sep,14
